time,A_money,A_bill_count,A_traffic,A_speed,A_oilprice,B_money,B_bill_count,B_traffic,B_speed,B_oilprice
2013-01-01,993978363,116318,8879,91,1925,1380551060,145811,28087.77419,99.61645161,1924.649032
2013-02-01,889931960,113901,10238,92,1953,1305874124,146382,30087.67857,99.76357143,1952.560357
2013-03-01,761595616,110599,9275,93,1987,1157719880,132610,27968.67742,103.103871,1986.555161
2013-04-01,716296784,104964,8811,92,1949,1267060474,160645,28417.36667,103.7986667,1949.459667
2013-05-01,971027376,151576,10617,93,1900,1429019585,227653,31113.09677,101.6964516,1899.980323
2013-06-01,901208239,128955,11511,93,1902,1217929376,197457,31929.73333,102.6793333,1902.059333
2013-07-01,949117459,125316,11606,90,1933,1345640982,217265,31260.48387,99.58354839,1933.174194
2013-08-01,1669549579,212036,16477,93,1948,2281016322,365063,37404.25806,94.71129032,1947.71871
2013-09-01,992995715,119751,11189,93,1935,1075538844,184015,31149.66667,99.73566667,1934.624
2013-10-01,1092977681,126154,11690,94,1903,1073881606,166858,32645.93548,100.9296774,1903.240645
2013-11-01,789247363,103111,10583,95,1880,1589539056,149540,27464.33333,102.1363333,1880.085
2013-12-01,792412282,96674,10317,93,1881,1023803948,134584,19289.93548,104.6245161,1881.234516
2014-01-01,609068300,70728,11862,96,1886,703856250,91314,47303.96429,98.31821429,1886.370357
2014-02-01,465367400,67863,9181,95,1881,965111350,78488,43379.53571,101.79,1880.791429
2014-03-01,860481300,83649,9268,97,1881,1226102921,144701,44823.77419,102.3622581,1880.875161
2014-04-01,725741115,97905,9081,97,1876,1179891731,156745,46087.46667,102.241,1875.95
2014-05-01,1010996589,142981,11300,97,1870,1637458290,220107,50091.80645,98.81483871,1869.568387
2014-06-01,975536968,133120,11283,98,1861,1478042011,191359,49089.73333,99.13066667,1861.354
2014-07-01,1162860690,168361,13540,97,1857,1771733592,253152,44015.48387,98.89903226,1856.665161
2014-08-01,1605501929,238212,15205,95,1842,2231913003,333984,57062.45161,96.64935484,1842.102903
2014-09-01,962293436,153450,11730,98,1814,1416594832,215103,52356,102.0466667,1814.306
2014-10-01,1073506998,161439,12992,95,1781,1619485594,227169,53005.45161,99.45322581,1781.178065
2014-11-01,814570787,123428,11142,96,1730,1338253834,187128,51091.06667,101.2756667,1730.27
2014-12-01,921582615,135382,14954,92,1652,1253765789,185855,32714.74194,98.82935484,1652.261935
2015-01-01,1163744427,170365,17550,97,1505,1492398495,221350,35462.96774,98.78612903,1505.200323
2015-02-01,973775382,149409,13746,99,1439,1358607341,208792,35475.07143,100.2510714,1439.198929
2015-03-01,663873233,107841,11025,101,1508,1041153312,150752,31492.58065,101.886129,1507.706129
2015-04-01,561730456,81387,11042,101,1507,1161337515,168757,33198.55172,100.8313793,1507.451034
2015-05-01,451511374,24913,13668,102,1542,1717181393,252618,38435.16129,101.6651613,1542.171613
2015-06-01,1730774998,112225,11883,102,1580,1144132767,166707,33371.63333,101.719,1580.029333
2015-07-01,1180673336,173044,14617,101,1576,1653797995,245563,36931.70968,100.2387097,1576.02129
2015-08-01,1712941961,243407,17935,100,1544,2198906862,323722,42589.32258,100.8664516,1544.493871
2015-09-01,1027762932,154996,14332,102,1511,1450219898,217006,19780.1,56.838,1511.490667
