시점,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,경제활동인구 (천명),취업자 (천명),실업자 (천명),이혼수,소비자물가지수 전월비,생활물가지수 전월비
2014-01-01,26940,5478,1777,1188,1522,762,800,749,58,6427,634,740,1052,836,933,1318,1788,326,25650,24759,891,9072,0.5,0.8
2014-02-01,25043,5138,1523,1087,1363,723,739,547,58,5985,593,733,1014,811,835,1211,1681,332,25997,24819,1178,9269,0.3,0.3
2014-03-01,24988,5313,1409,1001,1425,641,739,598,66,6093,707,736,946,812,816,1215,1485,326,26187,25163,1024,9472,0.2,0.2
2014-04-01,23841,4840,1431,961,1356,653,769,529,65,5857,625,730,948,719,783,1094,1459,272,26714,25684,1030,9576,0.1,0
2014-05-01,28324,6288,1767,1110,1607,708,842,757,74,6831,732,854,1032,841,831,1285,1768,335,26762,25811,951,9852,0.2,0
2014-06-01,24789,5299,1603,1005,1388,682,715,652,62,6096,662,699,960,708,776,1106,1503,302,26825,25875,949,9638,-0.1,-0.2
2014-06-01,24789,5299,-1603,1005,1388,682,715,652,62,6096,662,699,960,708,776,1106,1503,302,26825,25875,949,9638,-0.1,-0.2
2014-07-01,24967,5330,1631,980,1498,680,673,575,75,6202,639,689,975,718,723,1109,1509,285,26891,25979,912,10342,0.1,0
2014-08-01,22294,4951,1331,940,1287,624,615,552,65,5367,528,590,889,632,668,993,1405,253,26775,25885,890,9162,0.2,0.1
2014-09-01,19326,4106,1198,701,1065,503,580,475,58,4628,532,568,760,591,597,904,1105,242,26766,25917,849,9889,-0.1,0
2014-10-01,27118,5554,1700,1185,1499,723,866,716,112,6559,714,763,1159,808,764,1333,1694,326,26809,25951,858,10027,-0.3,-0.5
2014-11-01,23602,4995,1480,968,1319,633,746,632,82,5828,579,709,937,706,660,1019,1475,261,26786,25968,818,9321,-0.2,-0.2
2014-12-01,34275,7531,2077,1426,1922,881,1034,892,145,8433,840,963,1368,1029,971,1596,2184,333,26270,25384,886,9890,0,-0.2
