"","keylist_data","Freq"
"1","'케이캡’을",1
"2","-0",3
"3","-01",5
"4","-015",3
"5","-03",3
"6","-04",1
"7","-05",1
"8","-06",3
"9","-07",4
"10","-08",5
"11","-10.7",1
"12","-101",1
"13","-103",1
"14","-116",2
"15","-12.",1
"16","-132",1
"17","-2.",1
"18","-201",2
"19","-24.3",1
"20","-248",1
"21","-29.6",1
"22","-30",1
"23","-33.1",1
"24","-431",1
"25","-47.1",1
"26","-515",3
"27","-7.0",1
"28","-85.2",1
"29","-98.9",1
"30","-건선",1
"31","-메트포르민",1
"32","-암로디핀",1
"33","-어리연꽃",1
"34","-칸데사르탄",1
"35","-크로마논",1
"36","-크로마놀",1
"37","-한국콜마만",1
"38","　",198
"39","　　",2
"40","$5,000",2
"41","(↓)",1
"42","(A1",2
"43","(감소)가액",1
"44","(다)",3
"45","(아토메트)",1
"46","(주)두산",1
"47","(주)팬젠",1
"48","(주1)",86
"49","(주1)당기",1
"50","(주2",4
"51","(주2)",36
"52","(주2)대체",1
"53","(주3",2
"54","(주3)",12
"55","(주4",2
"56","(주4)",4
"57","(주5",2
"58","(주5)",2
"59","(주6",2
"60","(주6)",2
"61","(주요",1
"62","(주주",1
"63","(한겨레",1
"64",",는",1
"65","/H&B",1
"66","[H&B",1
"67","[연환산",1
"68","〔유동부채〕",3
"69","〔유동자산〕",3
"70","〔자본금〕",1
"71","〔지배기업",1
"72","+2.",1
"73","+4.",1
"74","+5.",1
"75","<제7기",1
"76","·재고자산",1
"77","0.",8
"78","0.00",6
"79","0.01",10
"80","0.08",2
"81","0.11",2
"82","0.13",1
"83","0.14",1
"84","0.37",2
"85","0.4",1
"86","0.41",1
"87","0.47",2
"88","0.49",1
"89","0.5",3
"90","0.52",1
"91","0.56",1
"92","0.7",2
"93","0.8",1
"94","00",204
"95","01",75
"96","01.",37
"97","02",32
"98","02.",7
"99","03",23
"100","03.",21
"101","04",49
"102","04.",14
"103","05",41
"104","05.",7
"105","06",34
"106","06.",9
"107","07",26
"108","07.",10
"109","08",33
"110","08.",7
"111","09",33
"112","09.",1
"113","1,000",10
"114","1,002",2
"115","1,008",1
"116","1,013",4
"117","1,026",1
"118","1,028",1
"119","1,029",2
"120","1,030",1
"121","1,033",1
"122","1,043",1
"123","1,044",1
"124","1,050",3
"125","1,064",1
"126","1,092",2
"127","1,093",2
"128","1,108",1
"129","1,136",2
"130","1,146",1
"131","1,189",1
"132","1,193",1
"133","1,200",3
